"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage1_switches_reduce.json","822","89",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage1_weights.pt","3025416","2471672",".pt","","True","review_extension:.pt;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage2_switches_normal.json","570","102",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage2_switches_reduce.json","570","88",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage2_weights.pt","3108390","2515546",".pt","","True","review_extension:.pt;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage3_switches_normal.json","318","62",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage3_switches_reduce.json","318","58",".json","","True","review_extension:.json;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed0__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-201335/stage3_weights.pt","2283482","1787954",".pt","","True","review_extension:.pt;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_final_normal.npy","576","258",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_final_reduce.npy","576","238",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage1_normal_global.npy","576","462",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage1_normal_local.npy","576","462",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/32/ISIC_search__ISIC2019__n6__seed1__img32__bs32__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251220-093707/arch_probs_stage1_reduce_global.npy","576","527",".npy","","True","review_extension:.npy;generated_or_historical_output"
